"SITE_CODE","EVENT_DATETIME","alkalinity(total)","arsenic(total)","calcium(total)","chloride(total)","chlorophyll-a-concentration_chlorophyte_green-algae","chlorophyll-a-concentration_cryptophyta_cryptophytes","chlorophyll-a-concentration_cyanobacteria_bluegreen","chlorophyll-a-concentration_dinophyta_diatoms","chlorophyll-a(total)","dissolved_organic_carbon","dissolved_oxygen","hardness(total)","iron(total)","kjeldahl_nitrogen(total)","manganese(total)","microcystin","nitrate-nitrite(total)","ph","ph_for_color_analysis","phosphorus(dissolved)","phosphorus(total)","secchi_disk_depth","specific_conductance","sulfate(total)","temperature","total_organic_carbon","true_color(total)","dissolved_oxygen_wqs","ph_high_wqs","ph_low_wqs","siteID","xcoord","ycoord","Eval_Status","PROB_CAT","nitrogen(total)","phos_trophic","chla_trophic","phosphorus(total)_nla","nitrogen(total)_nla","chlorophyll-a(total)_nla","dissolved_oxygen_nla","nutrient_limitation","secchi_trophic","zebra","conductance","color","ph_cat","leech","chloride","alkalinity","statusTNT","WgtAdj"
"0602STE0101_DH",2021-09-27,19.7,0.62,7.32,0,7.8,0,6.2,3.1,10.1,6.7,6,21.9,358,0.49,133,"Microcystin Detected",0.0022,7.6,7.88,0,0.0261,1,49.2,0,18.22222,NA,28,"yes","yes","yes","LAK20_NY-10079",-75.665989,42.525924,"Target_Sampled","(20,50]",0.4922,"Eutrophic","Eutrophic","Fair","Fair","Poor","Good","Co-limited","Eutrophic","Not susceptible","Soft","Weak","Slightly alk","Brown","Low","Soft","Target",30.8
"0602WHI5358_DH",2021-09-27,53.1,0.75,17.3,10.6,4.8,2,13.1,3.6,19.2,3.8,9.2,53.7,245,0.53,36.3,"Microcystin Detected",0.0702,8.1,8.28,0,0.0241,0.9,148.2,3.8,19,NA,12,"yes","yes","yes","LAK20_NY-10095",-75.974265,42.369615,"Target_Sampled",">50",0.6002,"Eutrophic","Eutrophic","Fair","Fair","Poor","Good","P-limited","Eutrophic","May be susceptible","Average","Weak","Slightly alk","Blue","Low","Soft","Target",15.1515151515152
"0602WOO0148_DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10059",-75.568675,42.85276,"Target_NoOwnerAccess","(20,50]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Target",30.8
"0603CAY0008_DH",2020-07-22,74.4,1.4,26.3,12.5,4,0,41,0,NA,4.3,5.6,84.9,63.6,NA,26.2,"Non-detect",0.0052,8.1,8.49,0.0056,0.0164,1.2,200.6,5.8,26.143,5.1,30,"yes","yes","yes","LAK20_NY-10065",-76.735404,42.367015,"Target_Sampled",">50",NA,"Mesotrophic",NA,"Fair",NA,NA,"Good",NA,"Eutrophic","Highly susceptible","Average","Weak","Slightly alk","Brown","Low","Moderately hard","Target",15.1515151515152
"0603SPE0013_DH",2020-07-22,133,0.45,44.5,16.8,52,0,0,2,0,1.9,6.9,157,94.4,NA,8.6,"Non-detect",0.205,7.8,8.07,0,0.0056,2.2,345,7.4,24.284,2,12,"yes","yes","yes","LAK20_NY-10001",-76.500256,42.247516,"Target_Sampled","(20,50]",NA,"Oligotrophic","Oligotrophic","Good",NA,"Good","Good",NA,"Mesotrophic","Highly susceptible","Hard","Weak","Slightly alk","Blue","Low","Hard","Target",30.8
"0701CRO0185_DH",2021-09-14,125,0.85,48.8,81.7,14.7,0.2,6.4,5.1,20.4,5,5.3,173,45.6,NA,15.7,"Microcystin Detected",0.217,7.8,8.33,0.0051,NA,1.5,581.1,44.7,21.44444,NA,20,"yes","yes","yes","LAK20_NY-10087",-76.479416,43.124075,"Target_Sampled",">50",NA,NA,"Eutrophic",NA,NA,"Poor","Good",NA,"Eutrophic","Highly susceptible","Hard","Weak","Slightly alk",NA,"Medium","Hard","Target",15.1515151515152
"0703SIS0112B_DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10036",-75.927243,43.482702,"Target_NoOwnerAccess","(1,4]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Target",63.0344827586207
"0703UWBXXX1_DH",2020-07-07,26.4,3.1,9.13,5.4,4,0,7,5,NA,25.8,NA,36.5,701,2.91,237,"Non-detect",0.0051,NA,9.24,0.0459,0.112,0,NA,0,NA,26.5,225,NA,NA,NA,"LAK20_NY-10011",-76.051602,43.320542,"Target_Sampled","(1,4]",2.9151,"Eutrophic",NA,"Poor","Poor",NA,NA,"P-limited","Eutrophic","Not susceptible",NA,"High",NA,"Murky","Low","Soft","Target",63.0344827586207
"0704CAN0286_CSL1",2020-09-20,NA,NA,NA,55.2,0,0.702,1.204,1.496,2.152,NA,NA,NA,NA,NA,NA,"Non-detect",0.0571,NA,NA,0.00212,0.0056,6.15,NA,NA,NA,NA,5,NA,NA,NA,"LAK20_NY-10027",-77.305004,42.778105,"Target_Sampled",">50",NA,"Oligotrophic","Mesotrophic","Good",NA,"Good",NA,NA,"Oligotrophic",NA,NA,"Uncolored",NA,"Blue","Medium",NA,"Target",15.1515151515152
"0706UWB5587_DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10039",-76.332867,42.586735,"Target_NoOwnerAccess","(1,4]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Target",63.0344827586207
"0801DAR0750_DH",2021-06-29,0,0,1.61,0,0.5,0,0.2,0,1.16,4.9,8.2,0,128,0.2,29.4,"Non-detect",0.0896,7.5,7.41,0,0,4,15.7,2.1,22.88889,5,30,"yes","yes","yes","LAK20_NY-10098",-74.862678,43.796039,"Target_Sampled",">50",0.2896,"Oligotrophic","Oligotrophic","Good","Good","Good","Good","P-limited","Mesotrophic","Not susceptible","Soft","Weak","~Neutral","Brown","Low","Soft","Target",15.1515151515152
"0801GUL0969_DH",2020-07-08,0,0.4,1.03,0,6,0,0,0,NA,NA,7.4,0,258,NA,4.1,"Non-detect",0.0037,6.8,6.59,0,0.0083,0,11.1,0,26.1666666666667,4.8,35,"yes","yes","yes","LAK20_NY-10063",-75.05823,43.553056,"Target_Sampled",">50",NA,"Oligotrophic",NA,"Good",NA,NA,"Good",NA,"Eutrophic","Not susceptible","Soft","High","~Neutral","Brown","Low","Soft","Target",15.1515151515152
"0801KAY0984A_DH",2020-07-08,24.8,0,10.7,0,2,0,0,1,NA,3.4,5.7,31,525,NA,24.6,"Non-detect",0.0488,7.6,7.25,0,0.0089,2,70.1,2.8,26.6666666666667,4,40,"yes","yes","yes","LAK20_NY-10020",-75.186734,43.407006,"Target_Sampled",">50",NA,"Oligotrophic",NA,"Good",NA,NA,"Good",NA,"Eutrophic","May be susceptible","Soft","High","Slightly alk","Brown","Low","Soft","Target",15.1515151515152
"0801MEI0420_DH",2021-06-30,0,0.35,0.914,0,3.5,0,0.1,0.7,2.53,7.7,7.2,0,57.5,0.41,40.3,"Non-detect",0,5.8,6.83,0,0.008,3.4,10.2,2.3,24.933,7.8,20,"yes","yes","no","LAK20_NY-10102",-75.247391,43.956708,"Target_Sampled","(1,4]",0.41,"Oligotrophic","Mesotrophic","Good","Good","Good","Good","P-limited","Mesotrophic","Not susceptible","Soft","Weak","Acidic","Blue","Low","Soft","Target",63.0344827586207
"0801OTT0926_DH",2020-07-08,19.6,0.57,8.04,34.1,3,0,0,1,NA,4.5,7.1,24,222,NA,31.5,"Non-detect",0.0051,7.7,7.03,0.0061,0.0111,1.7,162.5,4.2,25.7222222222222,4.6,30,"yes","yes","yes","LAK20_NY-10068",-75.11785,43.591915,"Target_Sampled",">50",NA,"Mesotrophic",NA,"Good",NA,NA,"Good",NA,"Eutrophic","Not susceptible","Average","Weak","Slightly alk","Brown","Low","Soft","Target",15.1515151515152
"0801SAN0436_DH",2021-06-30,0,0,0.94,0,1.1,0,0.5,1.1,14.8,3.9,7.5,0,215,0.55,13.1,"Non-detect",0,5.3,7.07,0.0057,0.0113,2,10.8,0,21.3,4,35,"yes","yes","no","LAK20_NY-10086",-75.159694,43.948515,"Target_Sampled","(20,50]",0.55,"Mesotrophic","Eutrophic","Good","Fair","Poor","Good","P-limited","Eutrophic","Not susceptible","Soft","High","Acidic","Brown","Low","Soft","Target",30.8
"0801UWB0945_DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10004",-75.12247,43.438308,"Target_NoOwnerAccess","(1,4]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Target",63.0344827586207
"0902DEE0073_DH",2021-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,"Non-detect",NA,7.7,NA,NA,NA,1.3,116.8,NA,23.55556,NA,NA,"yes","yes","yes","LAK20_NY-10106",-74.306059,44.653291,"Target_Sampled",">50",NA,NA,NA,NA,NA,NA,"Good",NA,"Eutrophic",NA,"Soft",NA,"Slightly alk",NA,NA,NA,"Target",15.1515151515152
"0902SPI0264_DH",2021-06-29,9,0,3.42,8.7,1.6,0,0.5,0.3,2.03,3.1,7.7,12.1,68.1,0.13,11,"Non-detect",0,7.2,7.75,0,0.0056,4.5,54.8,2.8,23.05556,3,20,"yes","yes","yes","LAK20_NY-10115",-74.272961,44.416321,"Target_Sampled",">50",0.13,"Oligotrophic","Mesotrophic","Good","Good","Good","Good","P-limited","Mesotrophic","Not susceptible","Soft","Weak","~Neutral","Blue","Low","Soft","Target",15.1515151515152
"0902WHI0158_DH",2021-06-29,0,0.41,0.692,0,4.9,0,1,0.8,6.3,7.9,7.8,0,42.7,0.6,13.1,"Non-detect",0,6,6.94,0,0.0177,1.8,7,0,22.66667,8.8,28,"yes","yes","no","LAK20_NY-10099",-74.301386,44.376945,"Target_Sampled","(1,4]",0.6,"Mesotrophic","Mesotrophic","Fair","Fair","Fair","Good","P-limited","Eutrophic","Not susceptible","Soft","Weak","Acidic","Brown","Low","Soft","Target",63.0344827586207
"0903BLA0029A_DH",2020-05-19,4,0,2.31,3.5,NA,NA,NA,NA,2.13,5.6,12.3,7.8,195,0.26,9.2,"Non-detect",0.127,6.7,6.55,0.0052,0.0075,4.8,30.2,0,11.868,5.9,45,"yes","yes","yes","LAK20_NY-10074",-74.756071,44.481512,"Target_Sampled",">50",0.387,"Oligotrophic","Mesotrophic","Good","Good","Good","Good","P-limited","Mesotrophic","Not susceptible","Soft","High","~Neutral","Brown","Low","Soft","Target",15.1515151515152
"0903BRI0178_DH",2020-09-01,6.8,0,2.78,0,6,0,2,4,9.02,NA,5.1,10.3,260,0.35,28.3,"Non-detect",0.0029,6.6,7.35,0,0.0111,2.7,26.8,3.7,19.381,6.2,34,"yes","yes","yes","LAK20_NY-10007",-74.583593,44.16336,"Target_Sampled",">50",0.3529,"Mesotrophic","Eutrophic","Good","Good","Poor","Good","P-limited","Mesotrophic","Not susceptible","Soft","High","~Neutral","Brown","Low","Soft","Target",15.1515151515152
"0903LMO0130_DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10030",-74.598129,43.997511,"Target_NoOwnerAccess","(1,4]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Target",63.0344827586207
"0903OTT0049_DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10010",-74.594789,44.368033,"Target_NoOwnerAccess","(4,10]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Target",166
"0903SHA0324_DH",2021-09-22,4.2,0,2.32,0,7.9,0.9,0,5.5,6.99,11.3,5.1,7.5,677,NA,83.8,"Microcystin Detected",0.0064,6.4,6.51,0,0.0136,1,17.7,0,18.66667,11,90,"yes","yes","no","LAK20_NY-10114",-74.736047,43.818358,"Target_Sampled",">50",NA,"Mesotrophic","Mesotrophic","Good",NA,"Fair","Good",NA,"Eutrophic","Not susceptible","Soft","High","Acidic","Brown","Low","Soft","Target",15.1515151515152
"0903SOU0017A_DH",2020-09-01,6.8,0,3.1,5.2,1,0,0,1,0.55,NA,8.7,10.5,210,0.31,17.8,"Non-detect",0.0713,6.9,6.99,0,0,3.4,40.3,3.4,20.888,4.8,22,"yes","yes","yes","LAK20_NY-10054",-74.866941,44.525388,"Target_Sampled",">50",0.3813,"Oligotrophic","Oligotrophic","Good","Good","Good","Good","P-limited","Mesotrophic","Not susceptible","Soft","Weak","~Neutral","Brown","Low","Soft","Target",15.1515151515152
"0903UPR0239_DH",2021-07-19,0,0,1.34,0,0.4,0,0.2,0,0.445,3.6,9.2,0,50.2,0.2,4.5,"Non-detect",0.147,5.4,6.36,0,0.0052,6,12.4,0,20.44444,3.3,18,"yes","yes","no","LAK20_NY-10035",-74.088783,44.126063,"Target_Sampled","(20,50]",0.347,"Oligotrophic","Oligotrophic","Good","Good","Good","Good","P-limited","Oligotrophic","Not susceptible","Soft","Weak","Acidic","Blue","Low","Soft","Target",30.8
"0903UWBXXX1_DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10006",-74.708932,44.031818,"Target_NoOwnerAccess","(1,4]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Target",63.0344827586207
"0903WIL0054_DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10051",-74.497901,44.351711,"Target_NoOwnerAccess","(20,50]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Target",30.8
"0905CRY0289_DH",2020-08-31,0,0.83,0.414,0,0,0,0,0,5.42,8.4,8.4,0,61.6,0.29,14.6,"Non-detect",0,5,7.99,0,0.0077,3.5,7,0,20.88889,8.8,11,"yes","yes","no","LAK20_NY-10034",-75.068359,44.101869,"Target_Sampled","(4,10]",0.29,"Oligotrophic","Mesotrophic","Good","Good","Fair","Good","P-limited","Mesotrophic","Not susceptible","Soft","Weak","Acidic","Blue","Low","Soft","Target",166
"0905JON0123_DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10026",-75.22636,44.256764,"Target_NoOwnerAccess","(10,20]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Target",55.7222222222222
"0905WAL0214_DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10022",-74.943767,43.970473,"Target_PhysicalAccess","(10,20]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Target",55.7222222222222
"1003DAI5107_DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-detect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAK20_NY-10058",-74.04218,44.529342,"Target_NoOwnerAccess","(4,10]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Target",166
"1004FER0222_DH",2020-09-02,12.8,0.33,5.32,5.7,4,0,1,5,6.86,NA,8.7,18.6,112,NA,33.1,"Non-detect",0,7.6,6.89,0,0.0068,2.2,52.7,3.5,19.39,4.3,14,"yes","yes","yes","LAK20_NY-10042",-73.718471,44.488702,"Target_Sampled",">50",NA,"Oligotrophic","Mesotrophic","Good",NA,"Fair","Good",NA,"Mesotrophic","Not susceptible","Soft","Weak","Slightly alk","Blue","Low","Soft","Target",15.1515151515152
"1004NIC0314_DH",2021-06-30,11.1,0,3.69,0,7.2,0,0.6,1.5,5.74,4.8,5,12.3,39.6,0.29,9.7,"Non-detect",0,7,6.97,0,0.0065,2.6,27.4,0,23.33333,5.7,20,"yes","yes","yes","LAK20_NY-10083",-73.516609,44.15756,"Target_Sampled","(20,50]",0.29,"Oligotrophic","Mesotrophic","Good","Good","Fair","Fair","P-limited","Mesotrophic","Not susceptible","Soft","Weak","~Neutral","Blue","Low","Soft","Target",30.8
"1005SUN0440_DH",2020-09-02,50.4,0.97,18.6,90.8,5,1,0,2,3.7,4.4,7.3,66.5,35.4,NA,7.4,"Non-detect",0,8.1,6.52,0,0.0112,4.7,390.9,4.1,23.373,4.6,NA,"yes","yes","yes","LAK20_NY-10016",-73.639666,43.375425,"Target_Sampled","(10,20]",NA,"Mesotrophic","Mesotrophic","Good",NA,"Good","Good",NA,"Mesotrophic","May be susceptible","Hard",NA,"Slightly alk",NA,"Medium","Soft","Target",55.7222222222222
"1006UWBXXX1_DH",2020-09-02,35.2,0,12.6,22.8,2,0,0,2,4.65,8.9,NA,40.1,396,NA,85.5,"Non-detect",0.003,NA,6.73,0.0059,0.0151,1.2,149,0,17.88889,9,43,NA,NA,NA,"LAK20_NY-10060",-73.568148,43.664256,"Target_Sampled","(4,10]",NA,"Mesotrophic","Mesotrophic","Good",NA,"Fair",NA,NA,"Eutrophic","May be susceptible","Average","High",NA,"Brown","Low","Soft","Target",166
"1104ALG0276A_DH",2020-07-09,17.2,0,6.43,9.9,4,0,0,4,7.11,4.9,7.2,21,352,0.33,35.3,"Non-detect",0.0123,7.7,6.84,0.0067,0.0107,2.3,75,2.2,26,4.9,35,"yes","yes","yes","LAK20_NY-10012",-74.293145,43.396201,"Target_Sampled",">50",0.3423,"Mesotrophic","Mesotrophic","Good","Good","Fair","Good","P-limited","Mesotrophic","Not susceptible","Soft","High","Slightly alk","Brown","Low","Soft","Target",15.1515151515152
"1104BRA0347_DH",2021-09-20,NA,NA,NA,NA,0.5,0.1,0.6,0.3,NA,NA,4.4,NA,NA,NA,NA,"Non-detect",NA,8,NA,NA,NA,4.54,84.6,NA,21.72222,NA,NA,"yes","yes","yes","LAK20_NY-10062",-73.702685,43.716244,"Target_Sampled",">50",NA,NA,NA,NA,NA,NA,"Fair",NA,"Mesotrophic",NA,"Soft",NA,"Slightly alk",NA,NA,NA,"Target",15.1515151515152
"1104DUR0641A_DH",2020-09-01,3.6,0,2.5,14.3,2,0,0,0,3.09,NA,8.3,8.9,140,0.53,4.3,"Non-detect",0,6.7,7.18,0,0.0076,0,63.3,0,17.55556,6.8,26,"yes","yes","yes","LAK20_NY-10014",-74.410379,43.842867,"Target_Sampled",">50",0.53,"Oligotrophic","Mesotrophic","Good","Fair","Good","Good","P-limited","Eutrophic","Not susceptible","Soft","Weak","~Neutral","Brown","Low","Soft","Target",15.1515151515152
"1104FOU0325_DH",2020-07-09,22.8,0,9.04,15.2,7,0,0,6,4.55,NA,5.9,31.2,362,0.35,24.4,"Non-detect",0.0364,7.4,7.15,0.0053,0.0162,2.2,104.5,3.7,23,3.5,34,"yes","yes","yes","LAK20_NY-10056",-73.824642,43.357672,"Target_Sampled","(20,50]",0.3864,"Mesotrophic","Mesotrophic","Fair","Good","Fair","Good","P-limited","Mesotrophic","Not susceptible","Soft","High","~Neutral","Brown","Low","Soft","Target",30.8
"1104GRE0127_DH",2020-08-31,17.2,0,4.89,7,5,0,1,2,4.56,NA,6.7,16.6,56.2,0.14,28.1,"Non-detect",0,7,6.75,0,0,4.5,59.1,2.6,22.904,2.8,NA,"yes","yes","yes","LAK20_NY-10044",-74.169999,43.149546,"Target_Sampled",">50",0.14,"Oligotrophic","Mesotrophic","Good","Good","Fair","Good","P-limited","Mesotrophic","Not susceptible","Soft",NA,"~Neutral",NA,"Low","Soft","Target",15.1515151515152
"1104HAR0680_DH",2020-09-01,8,0.33,4.48,7.9,2,0,1,1,3.5,5.5,5.3,14.7,197,0.37,31.6,"Non-detect",0,6.7,6.89,0,0.0079,3.5,51.8,3.2,19.83333,5.5,29,"yes","yes","yes","LAK20_NY-10046",-74.141731,43.974198,"Target_Sampled",">50",0.37,"Oligotrophic","Mesotrophic","Good","Good","Good","Good","P-limited","Mesotrophic","Not susceptible","Soft","Weak","~Neutral","Brown","Low","Soft","Target",15.1515151515152
"1104PAR0432_DH",2021-09-21,23.3,0,8.28,6.5,1.5,0,0.6,2.4,4.16,5.3,5.2,25.2,84.4,0.46,6.3,"Non-detect",0,8,7.5,0,0.0083,2.8,73.4,2.6,20.44444,5.4,27,"yes","yes","yes","LAK20_NY-10067",-73.693169,43.885987,"Target_Sampled",">50",0.46,"Oligotrophic","Mesotrophic","Good","Fair","Good","Good","P-limited","Mesotrophic","Not susceptible","Soft","Weak","Slightly alk","Brown","Low","Soft","Target",15.1515151515152
