"","sys_sample_code","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date","no_chemistry","why_no_chemistry","LAKE","purpose"
"26","2001cle0s52","Color, True","2020-09-29","COLOR","T",29,"color unit",NA,"color unit",5,NA,"A","","2020-12-09",NA,NA,"0104CLE0100",NA
"27","2001cle0s52","HARDNESS (AS CACO3)","2020-09-29","HARD","T",90.2,"mg/l",NA,"mg/l",6.62,NA,"A","","2020-12-09",NA,NA,"0104CLE0100",NA
"28","2001cle0s52","Iron","2020-09-29","7439-89-6","T",197,"ug/l",20,"ug/l",100,NA,"A","","2020-12-09",NA,NA,"0104CLE0100",NA
"29","2001cle0s52","Manganese","2020-09-29","7439-96-5","T",124,"ug/l",1.7,"ug/l",10,NA,"A","","2020-12-09",NA,NA,"0104CLE0100",NA
"30","2001cle0s52","Nitrate+Nitrite as Nitrogen","2020-09-29","NO3NO2N","T",NA,"mg/l",0.0015,"mg/l",0.002,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0104CLE0100",NA
"31","2001cle0s52","Nitrogen, ammonia (As N)","2020-09-29","7664-41-7","T",0.045,"mg/l",0.003,"mg/l",0.01,NA,"A","","2020-12-09",NA,NA,"0104CLE0100",NA
"32","2001cle0s52","NITROGEN, KJELDAHL, TOTAL","2020-09-29","KN","T",0.66,"mg/l",0.1,"mg/l",0.1,NA,"A","","2020-12-09",NA,NA,"0104CLE0100",NA
"33","2001cle0s52","NITROGEN, NITRATE (AS N)","2020-09-29","14797-55-8","T",NA,"mg/l",NA,"mg/l",0.05,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0104CLE0100",NA
"34","2001cle0s52","NITROGEN, NITRITE","2020-09-29","14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0104CLE0100",NA
"35","2001cle0s52","pH of Color Analysis","2020-09-29","PHCOLOR","T",7.42,"pH units",NA,"pH units",NA,NA,"A","","2020-12-09",NA,NA,"0104CLE0100",NA
"36","2001cle0s52","PHOSPHORUS, DISSOLVED (AS P)","2020-09-29","7723-14-0","D",0.008,"mg/l",0.0036,"mg/l",0.005,NA,"A","","2020-12-09",NA,NA,"0104CLE0100",NA
"37","2001cle0s52","PHOSPHORUS, TOTAL (AS P)","2020-09-29","7723-14-0","T",0.02,"mg/l",0.0036,"mg/l",0.005,NA,"A","","2020-12-09",NA,NA,"0104CLE0100",NA
"38","2001cle0s52","SULFATE (AS SO4)","2020-09-29","14808-79-8","T",7,"mg/l",0.4,"mg/l",2,NA,"A","","2020-12-09",NA,NA,"0104CLE0100",NA
"39","2001cle0s52","TOTAL ORGANIC CARBON","2020-09-29","TOC","T",7.7,"mg/l",0.5,"mg/l",1,NA,"A","","2020-12-09",NA,NA,"0104CLE0100",NA
"40","2001fau0s51","ALKALINITY, TOTAL (AS CaCO3)","2020-09-28","ALK","T",83.6,"mg/l",1.8,"mg/l",2,NA,"A","","2020-12-09",NA,NA,"0102FAU0021A",NA
"41","2001fau0s51","Arsenic","2020-09-28","7440-38-2","T",0.68,"ug/l",0.32,"ug/l",1,"J","J","estimated value due to lab error","2020-12-09",NA,NA,"0102FAU0021A",NA
"42","2001fau0s51","Calcium","2020-09-28","7440-70-2","T",29000,"ug/l",110,"ug/l",1000,NA,"A","","2020-12-09",NA,NA,"0102FAU0021A",NA
"43","2001fau0s51","Carbon, Dissolved Organic (DOC)","2020-09-28","DOC","D",4.3,"mg/l",0.5,"mg/l",1,NA,"A","","2020-12-09",NA,NA,"0102FAU0021A",NA
"44","2001fau0s51","CHLORIDE (AS CL)","2020-09-28","16887-00-6","T",7.5,"mg/l",0.5,"mg/l",2,NA,"A","","2020-12-09",NA,NA,"0102FAU0021A",NA
"45","2001fau0s51","Chlorophyll A","2020-09-28","479-61-8","T",4.11,"ug/l",NA,"ug/l",0.16,NA,"A","","2020-12-09",NA,NA,"0102FAU0021A",NA
"46","2001fau0s51","Color, True","2020-09-28","COLOR","T",25,"color unit",NA,"color unit",5,NA,"A","","2020-12-09",NA,NA,"0102FAU0021A",NA
"47","2001fau0s51","HARDNESS (AS CACO3)","2020-09-28","HARD","T",89.3,"mg/l",NA,"mg/l",6.62,NA,"A","","2020-12-09",NA,NA,"0102FAU0021A",NA
"48","2001fau0s51","Iron","2020-09-28","7439-89-6","T",98.9,"ug/l",20,"ug/l",100,"J","J","estimated value due to lab error","2020-12-09",NA,NA,"0102FAU0021A",NA
"49","2001fau0s51","Manganese","2020-09-28","7439-96-5","T",63.1,"ug/l",1.7,"ug/l",10,NA,"A","","2020-12-09",NA,NA,"0102FAU0021A",NA
"50","2001fau0s51","Nitrate+Nitrite as Nitrogen","2020-09-28","NO3NO2N","T",NA,"mg/l",0.0015,"mg/l",0.002,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0102FAU0021A",NA
"51","2001fau0s51","Nitrogen, ammonia (As N)","2020-09-28","7664-41-7","T",0.04,"mg/l",0.003,"mg/l",0.01,NA,"R","Equipment Blank error","2020-12-09",NA,NA,"0102FAU0021A",NA
"52","2001fau0s51","NITROGEN, KJELDAHL, TOTAL","2020-09-28","KN","T",0.71,"mg/l",0.1,"mg/l",0.1,NA,"A","","2020-12-09",NA,NA,"0102FAU0021A",NA
"53","2001fau0s51","NITROGEN, NITRATE (AS N)","2020-09-28","14797-55-8","T",NA,"mg/l",NA,"mg/l",0.05,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0102FAU0021A",NA
"54","2001fau0s51","NITROGEN, NITRITE","2020-09-28","14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0102FAU0021A",NA
"55","2001fau0s51","pH of Color Analysis","2020-09-28","PHCOLOR","T",7.86,"pH units",NA,"pH units",NA,NA,"A","","2020-12-09",NA,NA,"0102FAU0021A",NA
"56","2001fau0s51","PHOSPHORUS, DISSOLVED (AS P)","2020-09-28","7723-14-0","D",0.0062,"mg/l",0.0036,"mg/l",0.005,NA,"R","Equipment Blank error","2020-12-09",NA,NA,"0102FAU0021A",NA
"57","2001fau0s51","PHOSPHORUS, TOTAL (AS P)","2020-09-28","7723-14-0","T",0.0317,"mg/l",0.0036,"mg/l",0.005,NA,"T","","2020-12-09",NA,NA,"0102FAU0021A",NA
"58","2001fau0s51","SULFATE (AS SO4)","2020-09-28","14808-79-8","T",2.3,"mg/l",0.4,"mg/l",2,NA,"A","","2020-12-09",NA,NA,"0102FAU0021A",NA
"59","2001fau0s51","TOTAL ORGANIC CARBON","2020-09-28","TOC","T",5,"mg/l",0.5,"mg/l",1,NA,"A","","2020-12-09",NA,NA,"0102FAU0021A",NA
"60","2001fre0s51","ALKALINITY, TOTAL (AS CaCO3)","2020-09-29","ALK","T",98.4,"mg/l",1.8,"mg/l",2,NA,"A","","2020-12-09",NA,NA,"0105FRE0160",NA
"61","2001fre0s51","Arsenic","2020-09-29","7440-38-2","T",1.7,"ug/l",0.32,"ug/l",1,NA,"A","","2020-12-09",NA,NA,"0105FRE0160",NA
"62","2001fre0s51","Calcium","2020-09-29","7440-70-2","T",37200,"ug/l",110,"ug/l",1000,NA,"A","","2020-12-09",NA,NA,"0105FRE0160",NA
"63","2001fre0s51","Carbon, Dissolved Organic (DOC)","2020-09-29","DOC","D",4.5,"mg/l",0.5,"mg/l",1,NA,"R","Result should be less than the total","2020-12-09",NA,NA,"0105FRE0160",NA
"64","2001fre0s51","CHLORIDE (AS CL)","2020-09-29","16887-00-6","T",10.8,"mg/l",0.5,"mg/l",2,NA,"A","","2020-12-09",NA,NA,"0105FRE0160",NA
"65","2001fre0s51","Chlorophyll A","2020-09-29","479-61-8","T",1.58,"ug/l",NA,"ug/l",0.04,NA,"A","","2020-12-09",NA,NA,"0105FRE0160",NA
"66","2001fre0s51","Color, True","2020-09-29","COLOR","T",18,"color unit",NA,"color unit",5,NA,"A","","2020-12-09",NA,NA,"0105FRE0160",NA
"67","2001fre0s51","HARDNESS (AS CACO3)","2020-09-29","HARD","T",121,"mg/l",NA,"mg/l",6.62,NA,"A","","2020-12-09",NA,NA,"0105FRE0160",NA
"68","2001fre0s51","Iron","2020-09-29","7439-89-6","T",95.5,"ug/l",20,"ug/l",100,"J","J","estimated value due to lab error","2020-12-09",NA,NA,"0105FRE0160",NA
"69","2001fre0s51","Manganese","2020-09-29","7439-96-5","T",16.2,"ug/l",1.7,"ug/l",10,NA,"A","","2020-12-09",NA,NA,"0105FRE0160",NA
"70","2001fre0s51","Nitrate+Nitrite as Nitrogen","2020-09-29","NO3NO2N","T",NA,"mg/l",0.0015,"mg/l",0.002,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0105FRE0160",NA
"71","2001fre0s51","Nitrogen, ammonia (As N)","2020-09-29","7664-41-7","T",0.015,"mg/l",0.003,"mg/l",0.01,NA,"R","Equipment Blank error","2020-12-09",NA,NA,"0105FRE0160",NA
"72","2001fre0s51","NITROGEN, KJELDAHL, TOTAL","2020-09-29","KN","T",0.37,"mg/l",0.1,"mg/l",0.1,NA,"A","","2020-12-09",NA,NA,"0105FRE0160",NA
"73","2001fre0s51","NITROGEN, NITRATE (AS N)","2020-09-29","14797-55-8","T",NA,"mg/l",NA,"mg/l",0.05,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0105FRE0160",NA
"74","2001fre0s51","NITROGEN, NITRITE","2020-09-29","14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0105FRE0160",NA
"75","2001fre0s51","pH of Color Analysis","2020-09-29","PHCOLOR","T",7.85,"pH units",NA,"pH units",NA,NA,"A","","2020-12-09",NA,NA,"0105FRE0160",NA
"76","2001fre0s51","PHOSPHORUS, DISSOLVED (AS P)","2020-09-29","7723-14-0","D",NA,"mg/l",0.0036,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0105FRE0160",NA
"77","2001fre0s51","PHOSPHORUS, TOTAL (AS P)","2020-09-29","7723-14-0","T",0.0052,"mg/l",0.0036,"mg/l",0.005,NA,"R","Equipment Blank error","2020-12-09",NA,NA,"0105FRE0160",NA
"78","2001fre0s51","SULFATE (AS SO4)","2020-09-29","14808-79-8","T",18.5,"mg/l",0.4,"mg/l",2,NA,"A","","2020-12-09",NA,NA,"0105FRE0160",NA
"79","2001fre0s51","TOTAL ORGANIC CARBON","2020-09-29","TOC","T",3.8,"mg/l",0.5,"mg/l",1,NA,"A","","2020-12-09",NA,NA,"0105FRE0160",NA
"80","2001fre0s51","UV 254","2020-09-29","UV254","T",0.0725,"1/cm",NA,"1/cm",NA,NA,"A","","2020-12-09",NA,NA,"0105FRE0160",NA
"81","2001fre0s52","ALKALINITY, TOTAL (AS CaCO3)","2020-09-29","ALK","T",84.8,"mg/l",1.8,"mg/l",2,NA,"A","","2020-12-09",NA,NA,"0105FRE0160",NA
"82","2001fre0s52","Arsenic","2020-09-29","7440-38-2","T",3.3,"ug/l",0.32,"ug/l",1,NA,"A","","2020-12-09",NA,NA,"0105FRE0160",NA
"83","2001fre0s52","Calcium","2020-09-29","7440-70-2","T",29600,"ug/l",110,"ug/l",1000,NA,"A","","2020-12-09",NA,NA,"0105FRE0160",NA
"84","2001fre0s52","Carbon, Dissolved Organic (DOC)","2020-09-29","DOC","D",3.8,"mg/l",0.5,"mg/l",1,NA,"R","Result should be less than the total","2020-12-09",NA,NA,"0105FRE0160",NA
"85","2001fre0s52","CHLORIDE (AS CL)","2020-09-29","16887-00-6","T",13.3,"mg/l",0.5,"mg/l",2,NA,"A","","2020-12-09",NA,NA,"0105FRE0160",NA
"86","2001fre0s52","Color, True","2020-09-29","COLOR","T",32,"color unit",NA,"color unit",5,NA,"A","","2020-12-09",NA,NA,"0105FRE0160",NA
"87","2001fre0s52","HARDNESS (AS CACO3)","2020-09-29","HARD","T",93.7,"mg/l",NA,"mg/l",6.62,NA,"A","","2020-12-09",NA,NA,"0105FRE0160",NA
"88","2001fre0s52","Iron","2020-09-29","7439-89-6","T",718,"ug/l",20,"ug/l",100,NA,"A","","2020-12-09",NA,NA,"0105FRE0160",NA
"89","2001fre0s52","Manganese","2020-09-29","7439-96-5","T",2760,"ug/l",1.7,"ug/l",10,NA,"A","","2020-12-09",NA,NA,"0105FRE0160",NA
"90","2001fre0s52","Nitrate+Nitrite as Nitrogen","2020-09-29","NO3NO2N","T",0.0051,"mg/l",0.0015,"mg/l",0.002,NA,"A","","2020-12-09",NA,NA,"0105FRE0160",NA
"91","2001fre0s52","Nitrogen, ammonia (As N)","2020-09-29","7664-41-7","T",0.286,"mg/l",0.003,"mg/l",0.01,NA,"A","","2020-12-09",NA,NA,"0105FRE0160",NA
"92","2001fre0s52","NITROGEN, KJELDAHL, TOTAL","2020-09-29","KN","T",0.54,"mg/l",0.1,"mg/l",0.1,NA,"A","","2020-12-09",NA,NA,"0105FRE0160",NA
"93","2001fre0s52","NITROGEN, NITRATE (AS N)","2020-09-29","14797-55-8","T",NA,"mg/l",NA,"mg/l",0.05,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0105FRE0160",NA
"94","2001fre0s52","NITROGEN, NITRITE","2020-09-29","14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0105FRE0160",NA
"95","2001fre0s52","pH of Color Analysis","2020-09-29","PHCOLOR","T",7.31,"pH units",NA,"pH units",NA,NA,"A","","2020-12-09",NA,NA,"0105FRE0160",NA
"96","2001fre0s52","PHOSPHORUS, DISSOLVED (AS P)","2020-09-29","7723-14-0","D",NA,"mg/l",0.0036,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected","2020-12-09",NA,NA,"0105FRE0160",NA
"97","2001fre0s52","PHOSPHORUS, TOTAL (AS P)","2020-09-29","7723-14-0","T",0.0097,"mg/l",0.0036,"mg/l",0.005,NA,"A","","2020-12-09",NA,NA,"0105FRE0160",NA
"98","2001fre0s52","SULFATE (AS SO4)","2020-09-29","14808-79-8","T",9.9,"mg/l",0.4,"mg/l",2,NA,"A","","2020-12-09",NA,NA,"0105FRE0160",NA
"99","2001fre0s52","TOTAL ORGANIC CARBON","2020-09-29","TOC","T",3.5,"mg/l",0.5,"mg/l",1,NA,"A","","2020-12-09",NA,NA,"0105FRE0160",NA
"100","2001fre0s52","UV 254","2020-09-29","UV254","T",0.126,"1/cm",NA,"1/cm",NA,NA,"A","","2020-12-09",NA,NA,"0105FRE0160",NA
"101","2001gre5s51","ALKALINITY, TOTAL (AS CaCO3)","2020-09-30","ALK","T",117,"mg/l",1.8,"mg/l",2,NA,"A","","2020-12-09",NA,NA,"0104GRE5309","probability"
"102","2001gre5s51","Arsenic","2020-09-30","7440-38-2","T",1.7,"ug/l",0.32,"ug/l",1,NA,"A","","2020-12-09",NA,NA,"0104GRE5309","probability"
"103","2001gre5s51","Calcium","2020-09-30","7440-70-2","T",45100,"ug/l",110,"ug/l",1000,NA,"A","","2020-12-09",NA,NA,"0104GRE5309","probability"
"104","2001gre5s51","Carbon, Dissolved Organic (DOC)","2020-09-30","DOC","D",5.8,"mg/l",0.5,"mg/l",1,NA,"A","","2020-12-09",NA,NA,"0104GRE5309","probability"
"105","2001gre5s51","CHLORIDE (AS CL)","2020-09-30","16887-00-6","T",81.1,"mg/l",0.5,"mg/l",2,NA,"A","","2020-12-09",NA,NA,"0104GRE5309","probability"
"106","2001gre5s51","Chlorophyll A","2020-09-30","479-61-8","T",4.96,"ug/l",NA,"ug/l",0.64,NA,"A","","2020-12-09",NA,NA,"0104GRE5309","probability"
"107","2001gre5s51","Color, True","2020-09-30","COLOR","T",31,"color unit",NA,"color unit",5,NA,"A","","2020-12-09",NA,NA,"0104GRE5309","probability"
"108","2001gre5s51","HARDNESS (AS CACO3)","2020-09-30","HARD","T",138,"mg/l",NA,"mg/l",6.62,NA,"A","","2020-12-09",NA,NA,"0104GRE5309","probability"
"109","2001gre5s51","Iron","2020-09-30","7439-89-6","T",577,"ug/l",20,"ug/l",100,NA,"A","","2020-12-09",NA,NA,"0104GRE5309","probability"
"110","2001gre5s51","Manganese","2020-09-30","7439-96-5","T",81,"ug/l",1.7,"ug/l",10,NA,"A","","2020-12-09",NA,NA,"0104GRE5309","probability"
"111","2001gre5s51","Nitrate+Nitrite as Nitrogen","2020-09-30","NO3NO2N","T",0.0849,"mg/l",0.0015,"mg/l",0.002,NA,"A","","2020-12-09",NA,NA,"0104GRE5309","probability"
"112","2001gre5s51","Nitrogen, ammonia (As N)","2020-09-30","7664-41-7","T",0.192,"mg/l",0.003,"mg/l",0.01,NA,"J","estimated value due to Equipment Blank error","2020-12-09",NA,NA,"0104GRE5309","probability"
"113","2001gre5s51","NITROGEN, KJELDAHL, TOTAL","2020-09-30","KN","T",0.99,"mg/l",0.1,"mg/l",0.1,NA,"A","","2020-12-09",NA,NA,"0104GRE5309","probability"
"114","2001gre5s51","NITROGEN, NITRATE (AS N)","2020-09-30","14797-55-8","T",0.071,"mg/l",NA,"mg/l",0.05,NA,"A","","2020-12-09",NA,NA,"0104GRE5309","probability"
"115","2001gre5s51","NITROGEN, NITRITE","2020-09-30","14797-65-0","T",0.014,"mg/l",0.007,"mg/l",0.01,NA,"A","","2020-12-09",NA,NA,"0104GRE5309","probability"
"116","2001gre5s51","pH of Color Analysis","2020-09-30","PHCOLOR","T",7.71,"pH units",NA,"pH units",NA,NA,"A","","2020-12-09",NA,NA,"0104GRE5309","probability"
"117","2001gre5s51","PHOSPHORUS, DISSOLVED (AS P)","2020-09-30","7723-14-0","D",0.0086,"mg/l",0.0036,"mg/l",0.005,NA,"R","Equipment Blank error","2020-12-09",NA,NA,"0104GRE5309","probability"
"118","2001gre5s51","PHOSPHORUS, TOTAL (AS P)","2020-09-30","7723-14-0","T",0.035,"mg/l",0.0036,"mg/l",0.005,NA,"T","","2020-12-09",NA,NA,"0104GRE5309","probability"
"119","2001gre5s51","SULFATE (AS SO4)","2020-09-30","14808-79-8","T",21.4,"mg/l",0.4,"mg/l",2,NA,"A","","2020-12-09",NA,NA,"0104GRE5309","probability"
"120","2001gre5s51","TOTAL ORGANIC CARBON","2020-09-30","TOC","T",6,"mg/l",0.5,"mg/l",1,NA,"A","","2020-12-09",NA,NA,"0104GRE5309","probability"
"121","2001gre5s52","ALKALINITY, TOTAL (AS CaCO3)","2020-09-30","ALK","T",118,"mg/l",1.8,"mg/l",2,NA,"A","","2020-12-09",NA,NA,"0104GRE5309","probability"
"122","2001gre5s52","Arsenic","2020-09-30","7440-38-2","T",1.9,"ug/l",0.32,"ug/l",1,NA,"A","","2020-12-09",NA,NA,"0104GRE5309","probability"
"123","2001gre5s52","Calcium","2020-09-30","7440-70-2","T",45400,"ug/l",110,"ug/l",1000,NA,"A","","2020-12-09",NA,NA,"0104GRE5309","probability"
"124","2001gre5s52","Carbon, Dissolved Organic (DOC)","2020-09-30","DOC","D",6.5,"mg/l",0.5,"mg/l",1,NA,"R","Result should be less than the total","2020-12-09",NA,NA,"0104GRE5309","probability"
"125","2001gre5s52","CHLORIDE (AS CL)","2020-09-30","16887-00-6","T",81.1,"mg/l",0.5,"mg/l",2,NA,"A","","2020-12-09",NA,NA,"0104GRE5309","probability"
"126","2001gre5s52","Color, True","2020-09-30","COLOR","T",40,"color unit",NA,"color unit",5,NA,"A","","2020-12-09",NA,NA,"0104GRE5309","probability"
"127","2001gre5s52","HARDNESS (AS CACO3)","2020-09-30","HARD","T",139,"mg/l",NA,"mg/l",6.62,NA,"A","","2020-12-09",NA,NA,"0104GRE5309","probability"
"128","2001gre5s52","Iron","2020-09-30","7439-89-6","T",689,"ug/l",20,"ug/l",100,NA,"A","","2020-12-09",NA,NA,"0104GRE5309","probability"
"129","2001gre5s52","Manganese","2020-09-30","7439-96-5","T",140,"ug/l",1.7,"ug/l",10,NA,"A","","2020-12-09",NA,NA,"0104GRE5309","probability"
"130","2001gre5s52","Nitrate+Nitrite as Nitrogen","2020-09-30","NO3NO2N","T",0.0728,"mg/l",0.0015,"mg/l",0.002,NA,"A","","2020-12-09",NA,NA,"0104GRE5309","probability"
"131","2001gre5s52","Nitrogen, ammonia (As N)","2020-09-30","7664-41-7","T",0.303,"mg/l",0.003,"mg/l",0.01,NA,"A","","2020-12-09",NA,NA,"0104GRE5309","probability"
"132","2001gre5s52","NITROGEN, KJELDAHL, TOTAL","2020-09-30","KN","T",0.93,"mg/l",0.1,"mg/l",0.1,NA,"A","","2020-12-09",NA,NA,"0104GRE5309","probability"
"133","2001gre5s52","NITROGEN, NITRATE (AS N)","2020-09-30","14797-55-8","T",0.059,"mg/l",NA,"mg/l",0.05,NA,"A","","2020-12-09",NA,NA,"0104GRE5309","probability"
"134","2001gre5s52","NITROGEN, NITRITE","2020-09-30","14797-65-0","T",0.013,"mg/l",0.007,"mg/l",0.01,NA,"A","","2020-12-09",NA,NA,"0104GRE5309","probability"
"135","2001gre5s52","pH of Color Analysis","2020-09-30","PHCOLOR","T",7.48,"pH units",NA,"pH units",NA,NA,"A","","2020-12-09",NA,NA,"0104GRE5309","probability"
"136","2001gre5s52","PHOSPHORUS, DISSOLVED (AS P)","2020-09-30","7723-14-0","D",0.0076,"mg/l",0.0036,"mg/l",0.005,NA,"A","","2020-12-09",NA,NA,"0104GRE5309","probability"
"137","2001gre5s52","PHOSPHORUS, TOTAL (AS P)","2020-09-30","7723-14-0","T",0.0284,"mg/l",0.0036,"mg/l",0.005,NA,"A","","2020-12-09",NA,NA,"0104GRE5309","probability"
"138","2001gre5s52","SULFATE (AS SO4)","2020-09-30","14808-79-8","T",21.4,"mg/l",0.4,"mg/l",2,NA,"A","","2020-12-09",NA,NA,"0104GRE5309","probability"
"139","2001gre5s52","TOTAL ORGANIC CARBON","2020-09-30","TOC","T",6.2,"mg/l",0.5,"mg/l",1,NA,"A","","2020-12-09",NA,NA,"0104GRE5309","probability"
"140","2001har5s51","ALKALINITY, TOTAL (AS CaCO3)","2020-09-30","ALK","T",58.4,"mg/l",1.8,"mg/l",2,NA,"A","","2020-12-09",NA,NA,"0102HAR5128",NA
"141","2001har5s51","Arsenic","2020-09-30","7440-38-2","T",1,"ug/l",0.32,"ug/l",1,NA,"A","","2020-12-09",NA,NA,"0102HAR5128",NA
"142","2001har5s51","Calcium","2020-09-30","7440-70-2","T",20100,"ug/l",110,"ug/l",1000,NA,"A","","2020-12-09",NA,NA,"0102HAR5128",NA
