"within_period","use","type","parameter","fraction","units","n_samples_collected","n_years_sampled","n_exceedances","n_years_w_exceedances","n_no_result_value_provided","n_threshold_data_absent","notes","LAKE_ID"
TRUE,"fishing","none","ph","total","ph_units",1,1,0,0,0,0,"none","1601uwbxxx1"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,0,0,0,0,"none","1302hem0103h"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",1,1,0,0,0,0,"none","1302hem0103h"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,0,0,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","1302hem0103h"
TRUE,"fishing","none","ph","total","ph_units",1,1,0,0,0,0,"none","1302hem0103h"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,1,1,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","0403rus0146"
TRUE,"fishing","none","ph","total","ph_units",1,1,0,0,0,0,"none","0403rus0146"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,1,1,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","0601arn0362"
TRUE,"fishing","none","ph","total","ph_units",1,1,0,0,0,0,"none","0601arn0362"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,0,0,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","0602whi5358"
TRUE,"fishing","none","ph","total","ph_units",1,1,0,0,0,0,"none","0602whi5358"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",1,1,0,0,0,1,"none","0602lud0099"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",2,1,0,0,0,0,"none","0602lud0099"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,1,1,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","0602lud0099"
TRUE,"fishing","none","ph","total","ph_units",1,1,1,1,0,0,"none","0602lud0099"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,0,0,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","0602ste0101"
TRUE,"fishing","none","ph","total","ph_units",1,1,0,0,0,0,"none","0602ste0101"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",1,1,0,0,0,1,"none","0603cay0008"
TRUE,"fishing","aquatic_chronic","nitrite","total","ug/l",2,1,0,0,0,0,"none","0603cay0008"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",2,1,1,1,0,0,"none","0603cay0008"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,1,1,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","0603cay0008"
TRUE,"fishing","none","ph","total","ph_units",1,1,0,0,0,0,"none","0603cay0008"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",1,1,0,0,0,1,"none","0603spe0013"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,0,0,0,0,"none","0603spe0013"
TRUE,"fishing","aquatic_chronic","nitrite","total","ug/l",2,1,1,1,0,0,"none","0603spe0013"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",2,1,0,0,0,0,"none","0603spe0013"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,0,0,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","0603spe0013"
TRUE,"fishing","none","ph","total","ph_units",1,1,0,0,0,0,"none","0603spe0013"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",1,1,0,0,0,1,"none","0701cro0185"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,1,1,0,0,"none","0701cro0185"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",1,1,1,1,0,0,"none","0701cro0185"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,1,1,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","0701cro0185"
TRUE,"fishing","none","ph","total","ph_units",1,1,0,0,0,0,"none","0701cro0185"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",1,1,0,0,0,1,"none","0704can0286"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,0,0,0,0,"none","0704can0286"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",2,1,0,0,0,0,"none","0704can0286"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,0,0,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","0704can0286"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",1,1,0,0,0,1,"none","0801san0436"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,1,1,0,0,"none","0801san0436"
TRUE,"fishing","aquatic_chronic","nitrite","total","ug/l",1,1,0,0,0,0,"none","0801san0436"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",1,1,0,0,0,0,"none","0801san0436"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,0,0,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","0801san0436"
TRUE,"fishing","none","ph","total","ph_units",1,1,1,1,0,0,"none","0801san0436"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",1,1,0,0,0,1,"none","0801kay0984a"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",2,1,0,0,0,0,"none","0801kay0984a"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,1,1,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","0801kay0984a"
TRUE,"fishing","none","ph","total","ph_units",1,1,0,0,0,0,"none","0801kay0984a"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",1,1,0,0,0,1,"none","0801ott0926"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,0,0,0,0,"none","0801ott0926"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",1,1,0,0,0,0,"none","0801ott0926"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,0,0,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","0801ott0926"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",2,1,0,0,0,2,"none","0801dar0750"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,0,0,0,0,"none","0801dar0750"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",2,1,0,0,0,0,"none","0801dar0750"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,0,0,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","0801dar0750"
TRUE,"fishing","none","ph","total","ph_units",1,1,0,0,0,0,"none","0801dar0750"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",2,1,0,0,0,2,"none","0801mei0420"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,0,0,0,0,"none","0801mei0420"
TRUE,"fishing","aquatic_chronic","nitrite","total","ug/l",2,1,0,0,0,0,"none","0801mei0420"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",2,1,0,0,0,0,"none","0801mei0420"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,0,0,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","0801mei0420"
TRUE,"fishing","none","ph","total","ph_units",1,1,1,1,0,0,"none","0801mei0420"
TRUE,"fishing","aquatic_chronic","nitrite","total","ug/l",1,1,0,0,0,0,"none","0801gul0969"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",1,1,0,0,0,0,"none","0801gul0969"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,0,0,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","0801gul0969"
TRUE,"fishing","none","ph","total","ph_units",1,1,0,0,0,0,"none","0801gul0969"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,0,0,0,0,"none","0902dee0073"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",1,1,1,1,0,0,"none","0902dee0073"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,1,1,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","0902dee0073"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",1,1,0,0,0,1,"none","0902whi0158"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,0,0,0,0,"none","0902whi0158"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",1,1,0,0,0,0,"none","0902whi0158"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,0,0,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","0902whi0158"
TRUE,"fishing","none","ph","total","ph_units",1,1,1,1,0,0,"none","0902whi0158"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",2,1,0,0,0,2,"none","0902spi0264"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,0,0,0,0,"none","0902spi0264"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",2,1,0,0,0,0,"none","0902spi0264"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,0,0,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","0902spi0264"
TRUE,"fishing","none","ph","total","ph_units",1,1,0,0,0,0,"none","0902spi0264"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",1,1,0,0,0,1,"none","0903sou0017a"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,0,0,0,0,"none","0903sou0017a"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",2,1,0,0,0,0,"none","0903sou0017a"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,0,0,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","0903sou0017a"
TRUE,"fishing","none","ph","total","ph_units",1,1,0,0,0,0,"none","0903sou0017a"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",2,1,0,0,0,2,"none","0903bla0029a"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,0,0,0,0,"none","0903bla0029a"
TRUE,"fishing","aquatic_chronic","nitrite","total","ug/l",2,1,0,0,0,0,"none","0903bla0029a"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",1,1,0,0,0,0,"none","0903bla0029a"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,0,0,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","0903bla0029a"
TRUE,"fishing","none","ph","total","ph_units",1,1,1,1,0,0,"none","0903bla0029a"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",1,1,0,0,0,1,"none","0903bri0178"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,1,1,0,0,"none","0903bri0178"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",2,1,0,0,0,0,"none","0903bri0178"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,1,1,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","0903bri0178"
TRUE,"fishing","none","ph","total","ph_units",1,1,0,0,0,0,"none","0903bri0178"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",1,1,0,0,0,1,"none","0903upr0239"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,0,0,0,0,"none","0903upr0239"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",1,1,0,0,0,0,"none","0903upr0239"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,0,0,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","0903upr0239"
TRUE,"fishing","none","ph","total","ph_units",1,1,1,1,0,0,"none","0903upr0239"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,1,1,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","0903sha0324"
TRUE,"fishing","none","ph","total","ph_units",1,1,1,1,0,0,"none","0903sha0324"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",2,1,0,0,0,2,"none","0905cry0289"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,0,0,0,0,"none","0905cry0289"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",2,1,0,0,0,0,"none","0905cry0289"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,0,0,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","0905cry0289"
TRUE,"fishing","none","ph","total","ph_units",1,1,1,1,0,0,"none","0905cry0289"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",1,1,0,0,0,1,"none","1004fer0222"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,0,0,0,0,"none","1004fer0222"
TRUE,"fishing","aquatic_chronic","nitrite","total","ug/l",1,1,0,0,0,0,"none","1004fer0222"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",1,1,0,0,0,0,"none","1004fer0222"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,0,0,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","1004fer0222"
TRUE,"fishing","none","ph","total","ph_units",1,1,0,0,0,0,"none","1004fer0222"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",2,1,0,0,0,2,"none","1004nic0314"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,0,0,0,0,"none","1004nic0314"
TRUE,"fishing","aquatic_chronic","nitrite","total","ug/l",2,1,0,0,0,0,"none","1004nic0314"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",2,1,0,0,0,0,"none","1004nic0314"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,1,1,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","1004nic0314"
TRUE,"fishing","none","ph","total","ph_units",1,1,0,0,0,0,"none","1004nic0314"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",2,1,0,0,0,2,"none","1005sun0440"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,0,0,0,0,"none","1005sun0440"
TRUE,"fishing","aquatic_chronic","nitrite","total","ug/l",1,1,0,0,0,0,"none","1005sun0440"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",2,1,0,0,0,0,"none","1005sun0440"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,0,0,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","1005sun0440"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",2,1,0,0,0,2,"none","1104gre0127"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,0,0,0,0,"none","1104gre0127"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",2,1,0,0,0,0,"none","1104gre0127"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,1,1,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","1104gre0127"
TRUE,"fishing","none","ph","total","ph_units",1,1,1,1,0,0,"none","1104gre0127"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",2,1,0,0,0,2,"none","1104bra0347"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,0,0,0,0,"none","1104bra0347"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",2,1,0,0,0,0,"none","1104bra0347"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,1,1,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","1104bra0347"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",1,1,0,0,0,1,"none","1104dur0641a"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,0,0,0,0,"none","1104dur0641a"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",1,1,0,0,0,0,"none","1104dur0641a"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,0,0,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","1104dur0641a"
TRUE,"fishing","none","ph","total","ph_units",1,1,0,0,0,0,"none","1104dur0641a"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",2,1,0,0,0,2,"none","1104alg0276a"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,0,0,0,0,"none","1104alg0276a"
TRUE,"fishing","aquatic_chronic","nitrite","total","ug/l",2,1,0,0,0,0,"none","1104alg0276a"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",2,1,0,0,0,0,"none","1104alg0276a"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,1,1,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","1104alg0276a"
TRUE,"fishing","none","ph","total","ph_units",1,1,0,0,0,0,"none","1104alg0276a"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",2,1,0,0,0,2,"none","1104fou0325"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,0,0,0,0,"none","1104fou0325"
TRUE,"fishing","aquatic_chronic","nitrite","total","ug/l",2,1,0,0,0,0,"none","1104fou0325"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",2,1,0,0,0,0,"none","1104fou0325"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,0,0,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","1104fou0325"
TRUE,"fishing","none","ph","total","ph_units",1,1,0,0,0,0,"none","1104fou0325"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,1,1,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","1104par0432"
TRUE,"fishing","none","ph","total","ph_units",1,1,0,0,0,0,"none","1104par0432"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",2,1,0,0,0,2,"none","1104har0680"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,0,0,0,0,"none","1104har0680"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",2,1,0,0,0,0,"none","1104har0680"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,1,1,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","1104har0680"
TRUE,"fishing","none","ph","total","ph_units",1,1,1,1,0,0,"none","1104har0680"
TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",2,1,0,0,0,2,"none","1201eca0703a"
TRUE,"fishing","aquatic_chronic","chlorophyll_a","total","ug/l",1,1,0,0,0,0,"none","1201eca0703a"
TRUE,"fishing","aquatic_chronic","phosphorus","total","ug/l",2,1,0,0,0,0,"none","1201eca0703a"
TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",1,1,1,1,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.","1201eca0703a"
TRUE,"fishing","none","ph","total","ph_units",1,1,0,0,0,0,"none","1201eca0703a"
